"Category","Business Impact","Recommendation","Subscription ID","Subscription Name","Resource Group","Resource Name","Type","Updated Date","Potential benefits","Potential Annual Cost Savings","Potential Cost Savings Currency"
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","8d6d19d2-d4f8-4542-9421-d59f4257ccc5","DsiDev01 (8d6d19d2-d4f8-4542-9421-d59f4257ccc5)","rgdmoodle","lxdsbxmdlapp5.azure.forem.be","Virtual machine","2025-06-30T05:12:19.7452456Z","Guaranteed compute capacity in constrained region or zone.","",""
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzmariadb1-osdisk","Disk","2025-06-29T14:09:06.8763464Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Security","Medium","Guest Configuration extension should be installed on machines","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzfadmariadb1","Virtual machine","2025-06-30T05:19:48.5362213Z","Prevent potential security breaches","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzfadmariadb1","Virtual machine","2025-06-30T05:14:40.4904880Z","Guaranteed compute capacity in constrained region or zone.","",""
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzmoodlefad1.dmz.azure.forem.be_osdisk","Disk","2025-06-29T14:09:06.8763464Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpidm1.redhat.azure.forem.be","Virtual machine","2025-06-30T04:58:52.0585282Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","8d6d19d2-d4f8-4542-9421-d59f4257ccc5","DsiDev01 (8d6d19d2-d4f8-4542-9421-d59f4257ccc5)","rgdmoodle","lxdsbxmdlapp6.azure.forem.be","Virtual machine","2025-06-30T05:00:41.2333056Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","core-rg","azwpkms00","Virtual machine","2025-06-29T22:58:16.5985941Z","Enhanced resilience to platform faults and updates.","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdshfo5nic0","Network interface","2025-06-30T05:00:23.4179363Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzmoodlefad1.dmz.azure.forem.be","Virtual machine","2025-06-30T05:14:40.4904880Z","Guaranteed compute capacity in constrained region or zone.","",""
"Reliability","Medium","Migrate to Virtual Machine Scale Sets Flex","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","core-rg","azwpdcn00","Virtual machine","2025-06-29T22:54:28.7139634Z","Availability across zones or across different fault domains.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","27968616-adf3-45ac-9277-2750fe1d896f","DsiADC01 (27968616-adf3-45ac-9277-2750fe1d896f)","fortiadc-rg","fortiadcprd01","Virtual machine","2025-06-30T05:12:42.2349278Z","Guaranteed compute capacity in constrained region or zone.","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","cbf821af-139f-472b-bd9f-bd9e7c82395c","DsiAcc01 (cbf821af-139f-472b-bd9f-bd9e7c82395c)","rgaldap","lxaldap1.azure.forem.be_nic","Network interface","2025-06-30T05:01:36.8752176Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzmoodlefad1.dmz.azure.forem.be_datadisk","Disk","2025-06-29T14:09:06.8763464Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Security","Medium","Virtual machines and virtual machine scale sets should have encryption at host enabled","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzmoodlefad1.dmz.azure.forem.be","Virtual machine","2025-06-30T05:23:44.8318084Z","Prevent potential security breaches","",""
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","core-rg","azwpdcn02_data","Disk","2025-06-30T10:02:33.4218620Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdsh52","Virtual machine","2025-06-30T05:00:05.2813532Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Reliability","High","Use Availability zones for better resiliency and availability","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzfadmariadb1","Virtual machine","2025-06-30T05:54:23.9641392Z","Usage of zonal VMs protect your apps from zonal outage in any other zones.","",""
"Security","Medium","Guest Configuration extension should be installed on machines","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzmoodlefad1.dmz.azure.forem.be","Virtual machine","2025-06-30T05:19:48.5362213Z","Prevent potential security breaches","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzfadmariadb1291","Network interface","2025-06-30T05:04:04.8224664Z","Secure and explicit outbound access for new subnets.","",""
"Security","Low","Non-internet-facing virtual machines should be protected with network security groups","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzmoodlefad1.dmz.azure.forem.be","Virtual machine","2025-06-30T06:55:48.8410397Z","Prevent potential security breaches","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzmoodlefad1.dmz.azure.forem.be_nic","Network interface","2025-06-30T05:04:04.8224664Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","core-rg","azwpdcn00","Virtual machine","2025-06-30T05:11:11.6661184Z","Guaranteed compute capacity in constrained region or zone.","",""
"Security","Medium","Machines should have a vulnerability assessment solution","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzfadmariadb1","Virtual machine","2025-06-30T09:51:06.7003627Z","Prevent potential security breaches","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdsh56","Virtual machine","2025-06-30T05:18:02.5593091Z","Guaranteed compute capacity in constrained region or zone.","",""
"Security","Medium","Machines should have a vulnerability assessment solution","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzmoodlefad1.dmz.azure.forem.be","Virtual machine","2025-06-30T09:51:06.7003627Z","Prevent potential security breaches","",""
"Reliability","High","Enable zone redundancy for storage accounts to improve high availability and resiliency","cbf821af-139f-472b-bd9f-bd9e7c82395c","DsiAcc01 (cbf821af-139f-472b-bd9f-bd9e7c82395c)","rgaarchivage","svaarchivage","Storage Account","2025-06-30T09:49:12.8017386Z","Achieve higher availability for the application.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzntp1.dmz.azure.forem.be","Virtual machine","2025-06-29T22:58:43.3335502Z","Enhanced resilience to platform faults and updates.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns1a.dmz.azure.forem.be","Virtual machine","2025-06-30T05:14:40.4904880Z","Guaranteed compute capacity in constrained region or zone.","",""
"Security","Medium","Guest Configuration extension should be installed on machines","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzntp1.dmz.azure.forem.be","Virtual machine","2025-06-30T05:19:48.5362213Z","Prevent potential security breaches","",""
"Security","Medium","Guest Configuration extension should be installed on machines","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns1r.dmz.azure.forem.be","Virtual machine","2025-06-30T05:19:48.5362213Z","Prevent potential security breaches","",""
"Security","High","Machines should be configured to periodically check for missing system updates","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzntp1.dmz.azure.forem.be","Virtual machine","2025-06-29T23:50:25.3324754Z","Prevent potential security breaches","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzntp2.dmz.azure.forem.be","Virtual machine","2025-06-30T05:00:12.6104746Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2a.dmz.azure.forem.be","Virtual machine","2025-06-29T22:58:43.3485501Z","Enhanced resilience to platform faults and updates.","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2a.dmz.azure.forem.be","Virtual machine","2025-06-30T05:00:12.6154744Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Reliability","Medium","Use NAT gateway for outbound connectivity","cbf821af-139f-472b-bd9f-bd9e7c82395c","DsiAcc01 (cbf821af-139f-472b-bd9f-bd9e7c82395c)","infra-network-rg","acc-vnet","Virtual network","2025-06-30T05:22:11.9000005Z","Prevent outbound connection failures with NAT gateway","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzsmtp2.dmz.azure.forem.be","Virtual machine","2025-06-30T05:00:12.6154744Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Security","Low","Non-internet-facing virtual machines should be protected with network security groups","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzntp2.dmz.azure.forem.be","Virtual machine","2025-06-30T06:55:48.8360400Z","Prevent potential security breaches","",""
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzntp2.dmz.azure.forem.be_osdisk","Disk","2025-06-29T14:09:06.8763464Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Security","Low","Non-internet-facing virtual machines should be protected with network security groups","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgppcaleforembe","lxrzhttp1.dmz.azure.forem.be","Virtual machine","2025-06-30T06:55:48.8410397Z","Prevent potential security breaches","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdsh49nic0","Network interface","2025-06-30T05:00:23.4229367Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpntp1.azure.forem.be","Virtual machine","2025-06-30T05:11:11.6661184Z","Guaranteed compute capacity in constrained region or zone.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","infra-network-rg","fortiweb-1","Virtual machine","2025-06-30T05:14:40.4904880Z","Guaranteed compute capacity in constrained region or zone.","",""
"Security","Low","Machines should have vulnerability findings resolved","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns1r.dmz.azure.forem.be","Virtual machine","2025-06-30T01:48:45.1499310Z","Prevent potential security breaches","",""
"Reliability","Medium","Migrate to Virtual Machine Scale Sets Flex","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdshfo3","Virtual machine","2025-06-29T22:56:03.3718524Z","Availability across zones or across different fault domains.","",""
"Security","Medium","Guest Configuration extension should be installed on machines","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2r.dmz.azure.forem.be","Virtual machine","2025-06-30T05:19:48.5362213Z","Prevent potential security breaches","",""
"Security","Medium","Virtual machines and virtual machine scale sets should have encryption at host enabled","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzntp2.dmz.azure.forem.be","Virtual machine","2025-06-30T05:23:44.8318084Z","Prevent potential security breaches","",""
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2r.dmz.azure.forem.be_osdisk","Disk","2025-06-29T14:09:06.8763464Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Reliability","High","Enable zone redundancy for storage accounts to improve high availability and resiliency","8d6d19d2-d4f8-4542-9421-d59f4257ccc5","DsiDev01 (8d6d19d2-d4f8-4542-9421-d59f4257ccc5)","rgdapplications","svdapplicationssta","Storage Account","2025-06-29T10:18:27.5588351Z","Achieve higher availability for the application.","",""
"Security","Medium","Virtual machines and virtual machine scale sets should have encryption at host enabled","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2a.dmz.azure.forem.be","Virtual machine","2025-06-30T05:23:44.8318084Z","Prevent potential security breaches","",""
"Security","Medium","Virtual machines and virtual machine scale sets should have encryption at host enabled","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzntp1.dmz.azure.forem.be","Virtual machine","2025-06-30T05:23:44.8318084Z","Prevent potential security breaches","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns1r.dmz.azure.forem.be","Virtual machine","2025-06-30T05:00:12.6154744Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Security","High","Machines should be configured to periodically check for missing system updates","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns1r.dmz.azure.forem.be","Virtual machine","2025-06-29T23:50:25.3324754Z","Prevent potential security breaches","",""
"Security","High","EDR solution should be installed on Virtual Machines","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgppcaleforembe","lxrzhttp2.dmz.azure.forem.be","Virtual machine","2025-06-30T05:17:33.9557663Z","Prevent potential security breaches","",""
"Security","Medium","Guest Configuration extension should be installed on machines","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzsmtp2.dmz.azure.forem.be","Virtual machine","2025-06-30T05:19:48.5362213Z","Prevent potential security breaches","",""
"Security","Low","Non-internet-facing virtual machines should be protected with network security groups","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2a.dmz.azure.forem.be","Virtual machine","2025-06-30T06:55:48.8360400Z","Prevent potential security breaches","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdsh59nic0","Network interface","2025-06-30T05:00:23.4229367Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzsmtp2.dmz.azure.forem.be","Virtual machine","2025-06-29T22:58:43.3485501Z","Enhanced resilience to platform faults and updates.","",""
"Security","Low","Machines should have vulnerability findings resolved","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2a.dmz.azure.forem.be","Virtual machine","2025-06-30T01:48:45.1499310Z","Prevent potential security breaches","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzntp1.dmz.azure.forem.be","Virtual machine","2025-06-30T05:00:12.6104746Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Security","Low","Non-internet-facing virtual machines should be protected with network security groups","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns1a.dmz.azure.forem.be","Virtual machine","2025-06-30T06:55:48.8410397Z","Prevent potential security breaches","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns1a.dmz.azure.forem.be","Virtual machine","2025-06-29T22:58:43.3485501Z","Enhanced resilience to platform faults and updates.","",""
"Security","Medium","Virtual machines and virtual machine scale sets should have encryption at host enabled","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns1a.dmz.azure.forem.be","Virtual machine","2025-06-30T05:23:44.8318084Z","Prevent potential security breaches","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgppcaleforembe","lxrzhttp1.dmz.azure.forem.be","Virtual machine","2025-06-29T22:58:43.3435498Z","Enhanced resilience to platform faults and updates.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpatlassian","lxpconfluence1.azure.forem.be","Virtual machine","2025-06-30T05:09:36.7283695Z","Guaranteed compute capacity in constrained region or zone.","",""
"Security","Low","Non-internet-facing virtual machines should be protected with network security groups","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzsmtp2.dmz.azure.forem.be","Virtual machine","2025-06-30T06:55:48.8460402Z","Prevent potential security breaches","",""
"Reliability","High","Use Availability zones for better resiliency and availability","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzntp2.dmz.azure.forem.be","Virtual machine","2025-06-30T05:54:23.9641392Z","Usage of zonal VMs protect your apps from zonal outage in any other zones.","",""
"Security","Medium","Guest Configuration extension should be installed on machines","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2a.dmz.azure.forem.be","Virtual machine","2025-06-30T05:19:48.5362213Z","Prevent potential security breaches","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2a.dmz.azure.forem.be_nic","Network interface","2025-06-30T05:04:04.8174670Z","Secure and explicit outbound access for new subnets.","",""
"Security","High","Machines should be configured to periodically check for missing system updates","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzntp2.dmz.azure.forem.be","Virtual machine","2025-06-29T23:50:25.3324754Z","Prevent potential security breaches","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgppcaleforembe","lxrzhttp2.dmz.azure.forem.be_nic","Network interface","2025-06-30T05:04:04.8224664Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","27968616-adf3-45ac-9277-2750fe1d896f","DsiADC01 (27968616-adf3-45ac-9277-2750fe1d896f)","fortiadc-rg","fortiadcprd02-osdisk","Disk","2025-06-29T13:42:33.4808778Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Reliability","Medium","Migrate to Virtual Machine Scale Sets Flex","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdshbp5","Virtual machine","2025-06-29T22:56:03.3768567Z","Availability across zones or across different fault domains.","",""
"Security","High","Machines should be configured to periodically check for missing system updates","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2r.dmz.azure.forem.be","Virtual machine","2025-06-29T23:50:25.3324754Z","Prevent potential security breaches","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns1a.dmz.azure.forem.be_nic","Network interface","2025-06-30T05:04:04.8174670Z","Secure and explicit outbound access for new subnets.","",""
"Security","Medium","Guest Configuration extension should be installed on machines","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgppcaleforembe","lxrzhttp2.dmz.azure.forem.be","Virtual machine","2025-06-30T05:19:48.5362213Z","Prevent potential security breaches","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2r.dmz.azure.forem.be","Virtual machine","2025-06-29T22:58:43.3485501Z","Enhanced resilience to platform faults and updates.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzntp2.dmz.azure.forem.be","Virtual machine","2025-06-30T05:14:40.4804876Z","Guaranteed compute capacity in constrained region or zone.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgppcaleforembe","lxrzphp1.dmz.azure.forem.be","Virtual machine","2025-06-30T05:14:40.4904880Z","Guaranteed compute capacity in constrained region or zone.","",""
"Security","Medium","Guest Configuration extension should be installed on machines","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns1a.dmz.azure.forem.be","Virtual machine","2025-06-30T05:19:48.5362213Z","Prevent potential security breaches","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","8d6d19d2-d4f8-4542-9421-d59f4257ccc5","DsiDev01 (8d6d19d2-d4f8-4542-9421-d59f4257ccc5)","rgdesb","lxdesb1.azure.forem.be","Virtual machine","2025-06-30T05:00:40.9082993Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Reliability","High","Use Availability zones for better resiliency and availability","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns1r.dmz.azure.forem.be","Virtual machine","2025-06-30T05:54:23.9641392Z","Usage of zonal VMs protect your apps from zonal outage in any other zones.","",""
"Security","Low","Machines should have vulnerability findings resolved","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzsmtp2.dmz.azure.forem.be","Virtual machine","2025-06-30T01:48:45.1499310Z","Prevent potential security breaches","",""
